"TIME","GEO","INDIC_NRG","UNIT","Value","Flag and Footnotes"
"2005","Portugal","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","19.0",""
"2005","Portugal","Final Energy Consumption","Percentage",":",""
"2005","Portugal","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Romania","Primary energy consumption","Million TOE (tonnes of oil equivalent)","36.7",""
"2005","Romania","Primary energy consumption","Percentage",":",""
"2005","Romania","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Romania","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","24.7",""
"2005","Romania","Final Energy Consumption","Percentage",":",""
"2005","Romania","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Slovenia","Primary energy consumption","Million TOE (tonnes of oil equivalent)","7.0",""
"2005","Slovenia","Primary energy consumption","Percentage",":",""
"2005","Slovenia","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Slovenia","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","4.9",""
"2005","Slovenia","Final Energy Consumption","Percentage",":",""
"2005","Slovenia","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Slovakia","Primary energy consumption","Million TOE (tonnes of oil equivalent)","17.8",""
"2005","Slovakia","Primary energy consumption","Percentage",":",""
"2005","Slovakia","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Slovakia","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","11.6",""
"2005","Slovakia","Final Energy Consumption","Percentage",":",""
"2005","Slovakia","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Finland","Primary energy consumption","Million TOE (tonnes of oil equivalent)","33.4",""
"2005","Finland","Primary energy consumption","Percentage",":",""
"2005","Finland","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Finland","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","25.2",""
"2005","Finland","Final Energy Consumption","Percentage",":",""
"2005","Finland","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Sweden","Primary energy consumption","Million TOE (tonnes of oil equivalent)","48.7",""
"2005","Sweden","Primary energy consumption","Percentage",":",""
"2005","Sweden","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Sweden","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","33.7",""
"2005","Sweden","Final Energy Consumption","Percentage",":",""
"2005","Sweden","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","United Kingdom","Primary energy consumption","Million TOE (tonnes of oil equivalent)","222.8",""
"2005","United Kingdom","Primary energy consumption","Percentage",":",""
"2005","United Kingdom","Primary energy consumption","Index, 2005=100","100.0",""
"2005","United Kingdom","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","152.7",""
"2005","United Kingdom","Final Energy Consumption","Percentage",":",""
"2005","United Kingdom","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Iceland","Primary energy consumption","Million TOE (tonnes of oil equivalent)","3.2",""
"2005","Iceland","Primary energy consumption","Percentage",":",""
"2005","Iceland","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Iceland","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","2.0",""
"2005","Iceland","Final Energy Consumption","Percentage",":",""
"2005","Iceland","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Norway","Primary energy consumption","Million TOE (tonnes of oil equivalent)","24.9",""
"2005","Norway","Primary energy consumption","Percentage",":",""
"2005","Norway","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Norway","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","18.6",""
"2005","Norway","Final Energy Consumption","Percentage",":",""
"2005","Norway","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Montenegro","Primary energy consumption","Million TOE (tonnes of oil equivalent)","1.1",""
"2005","Montenegro","Primary energy consumption","Percentage",":",""
"2005","Montenegro","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Montenegro","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","0.8",""
"2005","Montenegro","Final Energy Consumption","Percentage",":",""
"2005","Montenegro","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Former Yugoslav Republic of Macedonia, the","Primary energy consumption","Million TOE (tonnes of oil equivalent)","2.7",""
"2005","Former Yugoslav Republic of Macedonia, the","Primary energy consumption","Percentage",":",""
"2005","Former Yugoslav Republic of Macedonia, the","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Former Yugoslav Republic of Macedonia, the","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","1.7",""
"2005","Former Yugoslav Republic of Macedonia, the","Final Energy Consumption","Percentage",":",""
"2005","Former Yugoslav Republic of Macedonia, the","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Albania","Primary energy consumption","Million TOE (tonnes of oil equivalent)","2.1",""
"2005","Albania","Primary energy consumption","Percentage",":",""
"2005","Albania","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Albania","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","1.9",""
"2005","Albania","Final Energy Consumption","Percentage",":",""
"2005","Albania","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Serbia","Primary energy consumption","Million TOE (tonnes of oil equivalent)","15.3",""
"2005","Serbia","Primary energy consumption","Percentage",":",""
"2005","Serbia","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Serbia","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","9.6",""
"2005","Serbia","Final Energy Consumption","Percentage",":",""
"2005","Serbia","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Turkey","Primary energy consumption","Million TOE (tonnes of oil equivalent)","81.1",""
"2005","Turkey","Primary energy consumption","Percentage",":",""
"2005","Turkey","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Turkey","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","63.4",""
"2005","Turkey","Final Energy Consumption","Percentage",":",""
"2005","Turkey","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption","Million TOE (tonnes of oil equivalent)","1.9",""
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption","Percentage",":",""
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","1.0",""
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Final Energy Consumption","Percentage",":",""
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Moldova","Primary energy consumption","Million TOE (tonnes of oil equivalent)","3.5",""
"2005","Moldova","Primary energy consumption","Percentage",":",""
"2005","Moldova","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Moldova","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","2.4",""
"2005","Moldova","Final Energy Consumption","Percentage",":",""
"2005","Moldova","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Ukraine","Primary energy consumption","Million TOE (tonnes of oil equivalent)","134.1",""
"2005","Ukraine","Primary energy consumption","Percentage",":",""
"2005","Ukraine","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Ukraine","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","80.8",""
"2005","Ukraine","Final Energy Consumption","Percentage",":",""
"2005","Ukraine","Final Energy Consumption","Index, 2005=100","100.0",""
"2006","European Union (28 countries)","Primary energy consumption","Million TOE (tonnes of oil equivalent)","1,722.0",""
"2006","European Union (28 countries)","Primary energy consumption","Percentage","0.0",""
"2006","European Union (28 countries)","Primary energy consumption","Index, 2005=100","100.5",""
"2006","European Union (28 countries)","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","1,193.0",""
"2006","European Union (28 countries)","Final Energy Consumption","Percentage","0.7",""
"2006","European Union (28 countries)","Final Energy Consumption","Index, 2005=100","100.1",""
"2006","Euro area (19 countries)","Primary energy consumption","Million TOE (tonnes of oil equivalent)","1,207.2",""
"2006","Euro area (19 countries)","Primary energy consumption","Percentage",":",""
"2006","Euro area (19 countries)","Primary energy consumption","Index, 2005=100","100.4",""
"2006","Euro area (19 countries)","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","844.9",""
"2006","Euro area (19 countries)","Final Energy Consumption","Percentage",":",""
"2006","Euro area (19 countries)","Final Energy Consumption","Index, 2005=100","100.0",""
"2006","Belgium","Primary energy consumption","Million TOE (tonnes of oil equivalent)","50.7",""
"2006","Belgium","Primary energy consumption","Percentage",":",""
"2006","Belgium","Primary energy consumption","Index, 2005=100","98.7",""
"2006","Belgium","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","36.2",""
"2006","Belgium","Final Energy Consumption","Percentage",":",""
"2006","Belgium","Final Energy Consumption","Index, 2005=100","98.9",""
"2006","Bulgaria","Primary energy consumption","Million TOE (tonnes of oil equivalent)","19.6",""
"2006","Bulgaria","Primary energy consumption","Percentage",":",""
"2006","Bulgaria","Primary energy consumption","Index, 2005=100","103.6",""
"2006","Bulgaria","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","10.5",""
"2006","Bulgaria","Final Energy Consumption","Percentage",":",""
"2006","Bulgaria","Final Energy Consumption","Index, 2005=100","103.1",""
"2006","Czech Republic","Primary energy consumption","Million TOE (tonnes of oil equivalent)","43.3",""
"2006","Czech Republic","Primary energy consumption","Percentage",":",""
"2006","Czech Republic","Primary energy consumption","Index, 2005=100","102.7",""
"2006","Czech Republic","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","26.4",""
"2006","Czech Republic","Final Energy Consumption","Percentage",":",""
"2006","Czech Republic","Final Energy Consumption","Index, 2005=100","101.4",""
"2006","Denmark","Primary energy consumption","Million TOE (tonnes of oil equivalent)","20.7",""
"2006","Denmark","Primary energy consumption","Percentage",":",""
"2006","Denmark","Primary energy consumption","Index, 2005=100","107.7",""
"2006","Denmark","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","15.7",""
"2006","Denmark","Final Energy Consumption","Percentage",":",""
"2006","Denmark","Final Energy Consumption","Index, 2005=100","101.0",""
"2006","Germany (until 1990 former territory of the FRG)","Primary energy consumption","Million TOE (tonnes of oil equivalent)","327.6",""
"2006","Germany (until 1990 former territory of the FRG)","Primary energy consumption","Percentage",":",""
"2006","Germany (until 1990 former territory of the FRG)","Primary energy consumption","Index, 2005=100","103.3",""
"2006","Germany (until 1990 former territory of the FRG)","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","223.4",""
"2006","Germany (until 1990 former territory of the FRG)","Final Energy Consumption","Percentage",":",""
"2006","Germany (until 1990 former territory of the FRG)","Final Energy Consumption","Index, 2005=100","102.3",""
"2006","Estonia","Primary energy consumption","Million TOE (tonnes of oil equivalent)","5.3",""
"2006","Estonia","Primary energy consumption","Percentage",":",""
"2006","Estonia","Primary energy consumption","Index, 2005=100","97.7",""
"2006","Estonia","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","2.9",""
"2006","Estonia","Final Energy Consumption","Percentage",":",""
"2006","Estonia","Final Energy Consumption","Index, 2005=100","100.1",""
"2006","Ireland","Primary energy consumption","Million TOE (tonnes of oil equivalent)","15.2",""
"2006","Ireland","Primary energy consumption","Percentage",":",""
"2006","Ireland","Primary energy consumption","Index, 2005=100","103.0",""
"2006","Ireland","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","13.2",""
"2006","Ireland","Final Energy Consumption","Percentage",":",""
"2006","Ireland","Final Energy Consumption","Index, 2005=100","105.0",""
"2006","Greece","Primary energy consumption","Million TOE (tonnes of oil equivalent)","30.7",""
"2006","Greece","Primary energy consumption","Percentage",":",""
"2006","Greece","Primary energy consumption","Index, 2005=100","100.1",""
"2006","Greece","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","21.6",""
"2006","Greece","Final Energy Consumption","Percentage",":",""
"2006","Greece","Final Energy Consumption","Index, 2005=100","102.9",""
"2006","Spain","Primary energy consumption","Million TOE (tonnes of oil equivalent)","136.4",""
"2006","Spain","Primary energy consumption","Percentage",":",""
"2006","Spain","Primary energy consumption","Index, 2005=100","100.4",""
"2006","Spain","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","95.5",""
"2006","Spain","Final Energy Consumption","Percentage",":",""
"2006","Spain","Final Energy Consumption","Index, 2005=100","97.7",""
"2006","France","Primary energy consumption","Million TOE (tonnes of oil equivalent)","255.3",""
"2006","France","Primary energy consumption","Percentage",":",""
"2006","France","Primary energy consumption","Index, 2005=100","98.2",""
"2006","France","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","157.7",""
"2006","France","Final Energy Consumption","Percentage",":",""
"2006","France","Final Energy Consumption","Index, 2005=100","98.4",""
"2006","Croatia","Primary energy consumption","Million TOE (tonnes of oil equivalent)","9.1",""
"2006","Croatia","Primary energy consumption","Percentage",":",""
"2006","Croatia","Primary energy consumption","Index, 2005=100","99.5",""
"2006","Croatia","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","7.3",""
"2006","Croatia","Final Energy Consumption","Percentage",":",""
"2006","Croatia","Final Energy Consumption","Index, 2005=100","100.3",""
"2006","Italy","Primary energy consumption","Million TOE (tonnes of oil equivalent)","179.2",""
"2006","Italy","Primary energy consumption","Percentage",":",""
"2006","Italy","Primary energy consumption","Index, 2005=100","98.8",""
"2006","Italy","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","135.6",""
"2006","Italy","Final Energy Consumption","Percentage",":",""
"2006","Italy","Final Energy Consumption","Index, 2005=100","98.9",""
"2006","Cyprus","Primary energy consumption","Million TOE (tonnes of oil equivalent)","2.6",""
"2006","Cyprus","Primary energy consumption","Percentage",":",""
"2006","Cyprus","Primary energy consumption","Index, 2005=100","104.0",""
"2006","Cyprus","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","1.9",""
"2006","Cyprus","Final Energy Consumption","Percentage",":",""
"2006","Cyprus","Final Energy Consumption","Index, 2005=100","101.7",""
"2006","Latvia","Primary energy consumption","Million TOE (tonnes of oil equivalent)","4.7",""
"2006","Latvia","Primary energy consumption","Percentage",":",""
"2006","Latvia","Primary energy consumption","Index, 2005=100","103.6",""
"2006","Latvia","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","4.2",""
"2006","Latvia","Final Energy Consumption","Percentage",":",""
"2006","Latvia","Final Energy Consumption","Index, 2005=100","104.4",""
"2006","Lithuania","Primary energy consumption","Million TOE (tonnes of oil equivalent)","7.7",""
"2006","Lithuania","Primary energy consumption","Percentage",":",""
"2006","Lithuania","Primary energy consumption","Index, 2005=100","97.7",""
"2006","Lithuania","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","4.9",""
"2006","Lithuania","Final Energy Consumption","Percentage",":",""
"2006","Lithuania","Final Energy Consumption","Index, 2005=100","106.3",""
"2006","Luxembourg","Primary energy consumption","Million TOE (tonnes of oil equivalent)","4.7",""
"2006","Luxembourg","Primary energy consumption","Percentage",":",""
"2006","Luxembourg","Primary energy consumption","Index, 2005=100","98.4",""
"2006","Luxembourg","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","4.4",""
"2006","Luxembourg","Final Energy Consumption","Percentage",":",""
"2006","Luxembourg","Final Energy Consumption","Index, 2005=100","98.5",""
"2006","Hungary","Primary energy consumption","Million TOE (tonnes of oil equivalent)","25.2",""
"2006","Hungary","Primary energy consumption","Percentage",":",""
"2006","Hungary","Primary energy consumption","Index, 2005=100","99.2",""
"2006","Hungary","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","18.0",""
"2006","Hungary","Final Energy Consumption","Percentage",":",""
"2006","Hungary","Final Energy Consumption","Index, 2005=100","98.6",""
"2006","Malta","Primary energy consumption","Million TOE (tonnes of oil equivalent)","0.9",""
"2006","Malta","Primary energy consumption","Percentage",":",""
"2006","Malta","Primary energy consumption","Index, 2005=100","94.6",""
"2006","Malta","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","0.4",""
"2006","Malta","Final Energy Consumption","Percentage",":",""
"2006","Malta","Final Energy Consumption","Index, 2005=100","99.8",""
"2006","Netherlands","Primary energy consumption","Million TOE (tonnes of oil equivalent)","68.7",""
"2006","Netherlands","Primary energy consumption","Percentage",":",""
"2006","Netherlands","Primary energy consumption","Index, 2005=100","99.2",""
"2006","Netherlands","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","53.8",""
"2006","Netherlands","Final Energy Consumption","Percentage",":",""
"2006","Netherlands","Final Energy Consumption","Index, 2005=100","99.3",""
"2006","Austria","Primary energy consumption","Million TOE (tonnes of oil equivalent)","32.3",""
"2006","Austria","Primary energy consumption","Percentage",":",""
"2006","Austria","Primary energy consumption","Index, 2005=100","99.6",""
"2006","Austria","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","27.7",""
"2006","Austria","Final Energy Consumption","Percentage",":",""
"2006","Austria","Final Energy Consumption","Index, 2005=100","99.6",""
"2006","Poland","Primary energy consumption","Million TOE (tonnes of oil equivalent)","91.7",""
"2006","Poland","Primary energy consumption","Percentage",":",""
"2006","Poland","Primary energy consumption","Index, 2005=100","104.6",""
"2006","Poland","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","61.6",""
"2006","Poland","Final Energy Consumption","Percentage",":",""
"2006","Poland","Final Energy Consumption","Index, 2005=100","104.4",""
"2006","Portugal","Primary energy consumption","Million TOE (tonnes of oil equivalent)","24.1",""
"2006","Portugal","Primary energy consumption","Percentage",":",""
"2006","Portugal","Primary energy consumption","Index, 2005=100","96.9",""
"2006","Portugal","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","18.8",""
"2006","Portugal","Final Energy Consumption","Percentage",":",""
"2006","Portugal","Final Energy Consumption","Index, 2005=100","98.8",""
