"WASTE","GEO","UNIT","HAZARD","NACE_R2","TIME","Value","Flag and Footnotes"
"Recyclable wastes (subtotal, W06+W07 except W077)","Cyprus","Tonne","Total","All NACE activities plus households","2012","309,824",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Latvia","Tonne","Total","All NACE activities plus households","2012","311,910",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Lithuania","Tonne","Total","All NACE activities plus households","2012","903,235",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Luxembourg","Tonne","Total","All NACE activities plus households","2012","434,383",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Hungary","Tonne","Total","All NACE activities plus households","2012","2,936,950",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Malta","Tonne","Total","All NACE activities plus households","2012","63,076",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Netherlands","Tonne","Total","All NACE activities plus households","2012","8,489,670",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Austria","Tonne","Total","All NACE activities plus households","2012","5,581,141",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Poland","Tonne","Total","All NACE activities plus households","2012","12,630,990",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Portugal","Tonne","Total","All NACE activities plus households","2012","4,475,414",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Romania","Tonne","Total","All NACE activities plus households","2012","5,500,147",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Slovenia","Tonne","Total","All NACE activities plus households","2012","952,837",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Slovakia","Tonne","Total","All NACE activities plus households","2012","1,644,128",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Finland","Tonne","Total","All NACE activities plus households","2012","13,456,696",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Sweden","Tonne","Total","All NACE activities plus households","2012","5,587,346",""
"Recyclable wastes (subtotal, W06+W07 except W077)","United Kingdom","Tonne","Total","All NACE activities plus households","2012","40,530,352",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Iceland","Tonne","Total","All NACE activities plus households","2012","90,962",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Liechtenstein","Tonne","Total","All NACE activities plus households","2012","23,091",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Norway","Tonne","Total","All NACE activities plus households","2012","3,440,196",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Montenegro","Tonne","Total","All NACE activities plus households","2012","9,975",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Former Yugoslav Republic of Macedonia, the","Tonne","Total","All NACE activities plus households","2012","40,434",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Serbia","Tonne","Total","All NACE activities plus households","2012","269,204",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Turkey","Tonne","Total","All NACE activities plus households","2012","2,605,930",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Bosnia and Herzegovina","Tonne","Total","All NACE activities plus households","2012","332,687",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Kosovo (under United Nations Security Council Resolution 1244/99)","Tonne","Total","All NACE activities plus households","2012","18,450",""
"Equipment (subtotal, W077+W08A+W081+W0841)","European Union (28 countries)","Tonne","Total","All NACE activities plus households","2012","16,000,000",""
"Equipment (subtotal, W077+W08A+W081+W0841)","European Union (27 countries)","Tonne","Total","All NACE activities plus households","2012","15,930,000",""
"Equipment (subtotal, W077+W08A+W081+W0841)","European Union (25 countries)","Tonne","Total","All NACE activities plus households","2012","15,680,000",""
"Equipment (subtotal, W077+W08A+W081+W0841)","European Union (15 countries)","Tonne","Total","All NACE activities plus households","2012","15,070,000",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Belgium","Tonne","Total","All NACE activities plus households","2012","387,293",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Bulgaria","Tonne","Total","All NACE activities plus households","2012","120,976",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Czech Republic","Tonne","Total","All NACE activities plus households","2012","69,518",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Denmark","Tonne","Total","All NACE activities plus households","2012","163,118",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Germany (until 1990 former territory of the FRG)","Tonne","Total","All NACE activities plus households","2012","2,489,447",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Estonia","Tonne","Total","All NACE activities plus households","2012","30,269",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Ireland","Tonne","Total","All NACE activities plus households","2012","264,090",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Greece","Tonne","Total","All NACE activities plus households","2012","193,228",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Spain","Tonne","Total","All NACE activities plus households","2012","1,094,760",""
"Equipment (subtotal, W077+W08A+W081+W0841)","France","Tonne","Total","All NACE activities plus households","2012","2,228,258",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Croatia","Tonne","Total","All NACE activities plus households","2012","62,588",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Italy","Tonne","Total","All NACE activities plus households","2012","2,717,441",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Cyprus","Tonne","Total","All NACE activities plus households","2012","19,952",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Latvia","Tonne","Total","All NACE activities plus households","2012","20,940",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Lithuania","Tonne","Total","All NACE activities plus households","2012","70,628",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Luxembourg","Tonne","Total","All NACE activities plus households","2012","14,465",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Hungary","Tonne","Total","All NACE activities plus households","2012","98,453",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Malta","Tonne","Total","All NACE activities plus households","2012","15,179",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Netherlands","Tonne","Total","All NACE activities plus households","2012","505,801",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Austria","Tonne","Total","All NACE activities plus households","2012","155,612",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Poland","Tonne","Total","All NACE activities plus households","2012","220,006",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Portugal","Tonne","Total","All NACE activities plus households","2012","233,570",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Romania","Tonne","Total","All NACE activities plus households","2012","133,816",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Slovenia","Tonne","Total","All NACE activities plus households","2012","29,674",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Slovakia","Tonne","Total","All NACE activities plus households","2012","32,553",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Finland","Tonne","Total","All NACE activities plus households","2012","224,387",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Sweden","Tonne","Total","All NACE activities plus households","2012","581,217",""
"Equipment (subtotal, W077+W08A+W081+W0841)","United Kingdom","Tonne","Total","All NACE activities plus households","2012","3,819,823",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Iceland","Tonne","Total","All NACE activities plus households","2012","8,391",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Liechtenstein","Tonne","Total","All NACE activities plus households","2012","529",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Norway","Tonne","Total","All NACE activities plus households","2012","356,649",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Montenegro","Tonne","Total","All NACE activities plus households","2012","2,476",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Former Yugoslav Republic of Macedonia, the","Tonne","Total","All NACE activities plus households","2012","767",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Serbia","Tonne","Total","All NACE activities plus households","2012","10,048",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Turkey","Tonne","Total","All NACE activities plus households","2012","14,976",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Bosnia and Herzegovina","Tonne","Total","All NACE activities plus households","2012","635",""
"Equipment (subtotal, W077+W08A+W081+W0841)","Kosovo (under United Nations Security Council Resolution 1244/99)","Tonne","Total","All NACE activities plus households","2012","360",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","European Union (28 countries)","Tonne","Total","All NACE activities plus households","2012","110,060,000",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","European Union (27 countries)","Tonne","Total","All NACE activities plus households","2012","109,920,000",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","European Union (25 countries)","Tonne","Total","All NACE activities plus households","2012","90,580,000",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","European Union (15 countries)","Tonne","Total","All NACE activities plus households","2012","81,210,000",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Belgium","Tonne","Total","All NACE activities plus households","2012","4,890,516",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Bulgaria","Tonne","Total","All NACE activities plus households","2012","1,129,778",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Czech Republic","Tonne","Total","All NACE activities plus households","2012","443,134",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Denmark","Tonne","Total","All NACE activities plus households","2012","889,560",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Germany (until 1990 former territory of the FRG)","Tonne","Total","All NACE activities plus households","2012","14,086,695",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Estonia","Tonne","Total","All NACE activities plus households","2012","83,782",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Ireland","Tonne","Total","All NACE activities plus households","2012","1,243,280",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Greece","Tonne","Total","All NACE activities plus households","2012","491,888",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Spain","Tonne","Total","All NACE activities plus households","2012","8,297,358",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","France","Tonne","Total","All NACE activities plus households","2012","11,281,262",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Croatia","Tonne","Total","All NACE activities plus households","2012","132,580",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Italy","Tonne","Total","All NACE activities plus households","2012","9,975,760",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Cyprus","Tonne","Total","All NACE activities plus households","2012","220,713",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Latvia","Tonne","Total","All NACE activities plus households","2012","137,353",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Lithuania","Tonne","Total","All NACE activities plus households","2012","578,215",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Luxembourg","Tonne","Total","All NACE activities plus households","2012","84,575",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Hungary","Tonne","Total","All NACE activities plus households","2012","791,369",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Malta","Tonne","Total","All NACE activities plus households","2012","16,348",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Netherlands","Tonne","Total","All NACE activities plus households","2012","14,544,708",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Austria","Tonne","Total","All NACE activities plus households","2012","1,892,661",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Poland","Tonne","Total","All NACE activities plus households","2012","5,929,556",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Portugal","Tonne","Total","All NACE activities plus households","2012","203,496",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Romania","Tonne","Total","All NACE activities plus households","2012","18,211,593",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Slovenia","Tonne","Total","All NACE activities plus households","2012","309,839",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Slovakia","Tonne","Total","All NACE activities plus households","2012","863,110",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Finland","Tonne","Total","All NACE activities plus households","2012","988,318",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Sweden","Tonne","Total","All NACE activities plus households","2012","1,841,839",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","United Kingdom","Tonne","Total","All NACE activities plus households","2012","10,497,316",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Iceland","Tonne","Total","All NACE activities plus households","2012","139,063",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Liechtenstein","Tonne","Total","All NACE activities plus households","2012","2,587",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Norway","Tonne","Total","All NACE activities plus households","2012","961,529",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Montenegro","Tonne","Total","All NACE activities plus households","2012","1,538",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Former Yugoslav Republic of Macedonia, the","Tonne","Total","All NACE activities plus households","2012","5,965",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Serbia","Tonne","Total","All NACE activities plus households","2012","177,480",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Turkey","Tonne","Total","All NACE activities plus households","2012","807,984",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Bosnia and Herzegovina","Tonne","Total","All NACE activities plus households","2012","42,935",""
"Animal and vegetal wastes (subtotal, W091+W092+W093)","Kosovo (under United Nations Security Council Resolution 1244/99)","Tonne","Total","All NACE activities plus households","2012","22,183",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","European Union (28 countries)","Tonne","Total","All NACE activities plus households","2012","282,010,000",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","European Union (27 countries)","Tonne","Total","All NACE activities plus households","2012","280,530,000",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","European Union (25 countries)","Tonne","Total","All NACE activities plus households","2012","270,600,000",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","European Union (15 countries)","Tonne","Total","All NACE activities plus households","2012","239,510,000",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Belgium","Tonne","Total","All NACE activities plus households","2012","7,597,821",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Bulgaria","Tonne","Total","All NACE activities plus households","2012","3,599,562",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Czech Republic","Tonne","Total","All NACE activities plus households","2012","3,800,249",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Denmark","Tonne","Total","All NACE activities plus households","2012","4,282,022",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Germany (until 1990 former territory of the FRG)","Tonne","Total","All NACE activities plus households","2012","44,347,058",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Estonia","Tonne","Total","All NACE activities plus households","2012","518,836",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Ireland","Tonne","Total","All NACE activities plus households","2012","3,968,305",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Greece","Tonne","Total","All NACE activities plus households","2012","5,547,016",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Spain","Tonne","Total","All NACE activities plus households","2012","29,110,389",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","France","Tonne","Total","All NACE activities plus households","2012","38,097,587",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Croatia","Tonne","Total","All NACE activities plus households","2012","1,483,605",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Italy","Tonne","Total","All NACE activities plus households","2012","37,437,594",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Cyprus","Tonne","Total","All NACE activities plus households","2012","246,204",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Latvia","Tonne","Total","All NACE activities plus households","2012","1,044,414",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Lithuania","Tonne","Total","All NACE activities plus households","2012","1,286,865",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Luxembourg","Tonne","Total","All NACE activities plus households","2012","274,333",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Hungary","Tonne","Total","All NACE activities plus households","2012","3,504,999",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Malta","Tonne","Total","All NACE activities plus households","2012","266,683",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Netherlands","Tonne","Total","All NACE activities plus households","2012","9,501,708",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Austria","Tonne","Total","All NACE activities plus households","2012","4,374,198",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Poland","Tonne","Total","All NACE activities plus households","2012","18,056,840",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Portugal","Tonne","Total","All NACE activities plus households","2012","5,405,214",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Romania","Tonne","Total","All NACE activities plus households","2012","6,325,401",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Slovenia","Tonne","Total","All NACE activities plus households","2012","775,109",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Slovakia","Tonne","Total","All NACE activities plus households","2012","1,589,721",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Finland","Tonne","Total","All NACE activities plus households","2012","2,880,005",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Sweden","Tonne","Total","All NACE activities plus households","2012","5,078,172",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","United Kingdom","Tonne","Total","All NACE activities plus households","2012","41,613,383",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Iceland","Tonne","Total","All NACE activities plus households","2012","259,384",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Liechtenstein","Tonne","Total","All NACE activities plus households","2012","8,939",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Norway","Tonne","Total","All NACE activities plus households","2012","3,224,421",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Montenegro","Tonne","Total","All NACE activities plus households","2012","4,676",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Former Yugoslav Republic of Macedonia, the","Tonne","Total","All NACE activities plus households","2012","28,154",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Serbia","Tonne","Total","All NACE activities plus households","2012","177,366",""
