"TIME","GEO","UNIT","AIRPOL","AIREMSECT","Value","Flag and Footnotes"
"2004","Estonia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","19,182.87",""
"2004","Estonia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","19,092.89",""
"2004","Ireland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","73,861.32",""
"2004","Ireland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","71,443.77",""
"2004","Ireland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","69,268.46",""
"2004","Greece","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","129,960.16",""
"2004","Greece","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","135,818.93",""
"2004","Greece","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","132,693.77",""
"2004","Spain","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","394,460.75",""
"2004","Spain","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","437,850.25",""
"2004","Spain","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","426,508.36",""
"2004","France","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","504,801.62",""
"2004","France","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","568,283.22",""
"2004","France","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","552,648.03",""
"2004","Croatia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","23,727.54",""
"2004","Croatia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","30,636.3",""
"2004","Croatia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","30,446.35",""
"2004","Italy","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","551,265.77",""
"2004","Italy","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","589,575.05",""
"2004","Italy","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","580,889.07",""
"2004","Cyprus","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","8,701",""
"2004","Cyprus","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","10,250.62",""
"2004","Cyprus","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","9,344.16",""
"2004","Latvia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","6,399.79",""
"2004","Latvia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","11,000.47",""
"2004","Latvia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","10,850.9",""
"2004","Lithuania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","15,074.14",""
"2004","Lithuania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","22,197.17",""
"2004","Lithuania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","22,091.9",""
"2004","Luxembourg","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","12,540.23",""
"2004","Luxembourg","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","14,285.98",""
"2004","Luxembourg","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","12,969.21",""
"2004","Hungary","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","72,994.12",""
"2004","Hungary","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","76,848.95",""
"2004","Hungary","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","76,164.59",""
"2004","Malta","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","2,862.61",""
"2004","Malta","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","3,138.16",""
"2004","Malta","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","2,865.25",""
"2004","Netherlands","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","225,446.61",""
"2004","Netherlands","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","229,922.83",""
"2004","Netherlands","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","219,228.53",""
"2004","Austria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","81,849.22",""
"2004","Austria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","93,266.22",""
"2004","Austria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","91,523.36",""
"2004","Poland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","353,003.16",""
"2004","Poland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","398,978.43",""
"2004","Poland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","398,160.76",""
"2004","Portugal","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","77,306.3",""
"2004","Portugal","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","87,601.56",""
"2004","Portugal","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","85,408.08",""
"2004","Romania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","126,491.35",""
"2004","Romania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","150,416.12",""
"2004","Romania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","149,948.26",""
"2004","Slovenia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","13,012.24",""
"2004","Slovenia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","20,201.15",""
"2004","Slovenia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","20,144.39",""
"2004","Slovakia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","43,196.79",""
"2004","Slovakia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","51,664.05",""
"2004","Slovakia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","51,585.57",""
"2004","Finland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","52,609.27",""
"2004","Finland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","82,513.74",""
"2004","Finland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","81,214.93",""
"2004","Sweden","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","29,091.56",""
"2004","Sweden","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","71,184.13",""
"2004","Sweden","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","69,387.32",""
"2004","United Kingdom","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","704,367.58",""
"2004","United Kingdom","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","739,260.52",""
"2004","United Kingdom","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","706,711.42",""
"2004","Iceland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","15,717.18",""
"2004","Iceland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","4,464.01",""
"2004","Iceland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","4,084.92",""
"2005","European Union (28 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","4,903,304.13",""
"2005","European Union (28 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","5,355,547.72",""
"2005","European Union (28 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","5,223,814.56",""
"2005","European Union (15 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","4,029,236.03",""
"2005","European Union (15 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","4,351,777.66",""
"2005","European Union (15 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","4,225,702.13",""
"2005","Belgium","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","141,957.11",""
"2005","Belgium","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","148,593.16",""
"2005","Belgium","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","145,017.44",""
"2005","Bulgaria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","55,298.43",""
"2005","Bulgaria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","64,734.24",""
"2005","Bulgaria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","64,165.23",""
"2005","Czech Republic","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","137,987.47",""
"2005","Czech Republic","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","145,398.62",""
"2005","Czech Republic","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","144,419.67",""
"2005","Denmark","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","71,585.95",""
"2005","Denmark","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","68,041.02",""
"2005","Denmark","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","65,477.39",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","980,493.62",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","1,015,594.46",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","992,692.39",""
"2005","Estonia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","13,498.77",""
"2005","Estonia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","18,540.35",""
"2005","Estonia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","18,392.29",""
"2005","Ireland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","74,764.87",""
"2005","Ireland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","73,875.33",""
"2005","Ireland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","71,348.57",""
"2005","Greece","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","133,679.17",""
"2005","Greece","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","138,737.63",""
"2005","Greece","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","136,337.98",""
"2005","Spain","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","408,425.76",""
"2005","Spain","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","452,861.75",""
"2005","Spain","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","440,826.99",""
"2005","France","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","505,743.27",""
"2005","France","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","570,730.66",""
"2005","France","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","554,864.22",""
"2005","Croatia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","23,732.64",""
"2005","Croatia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","30,958.51",""
"2005","Croatia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","30,729.27",""
"2005","Italy","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","547,588.78",""
"2005","Italy","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","587,436.04",""
"2005","Italy","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","578,257.78",""
"2005","Cyprus","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","8,948.58",""
"2005","Cyprus","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","10,489.22",""
"2005","Cyprus","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","9,596.02",""
"2005","Latvia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","6,941.58",""
"2005","Latvia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","11,221.19",""
"2005","Latvia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","11,039.79",""
"2005","Lithuania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","18,012.23",""
"2005","Lithuania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","23,307.34",""
"2005","Lithuania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","23,167.26",""
"2005","Luxembourg","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","12,782.14",""
"2005","Luxembourg","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","14,520.33",""
"2005","Luxembourg","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","13,182.36",""
"2005","Hungary","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","70,360.89",""
"2005","Hungary","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","76,739.72",""
"2005","Hungary","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","75,949.27",""
"2005","Malta","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","2,952.32",""
"2005","Malta","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","3,232.64",""
"2005","Malta","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","2,955",""
"2005","Netherlands","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","219,377.71",""
"2005","Netherlands","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","224,238.73",""
"2005","Netherlands","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","213,229.08",""
"2005","Austria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","81,353.72",""
"2005","Austria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","94,475.86",""
"2005","Austria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","92,495.55",""
"2005","Poland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","353,914.31",""
"2005","Poland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","399,185.55",""
"2005","Poland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","398,268.49",""
"2005","Portugal","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","88,245.81",""
"2005","Portugal","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","90,175.81",""
"2005","Portugal","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","87,898.18",""
"2005","Romania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","122,335.58",""
"2005","Romania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","147,753.56",""
"2005","Romania","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","147,373.53",""
"2005","Slovenia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","13,307.48",""
"2005","Slovenia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","20,517.29",""
"2005","Slovenia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","20,455.86",""
"2005","Slovakia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","46,777.82",""
"2005","Slovakia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","51,691.83",""
"2005","Slovakia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","51,600.76",""
"2005","Finland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","39,683.54",""
"2005","Finland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","70,636.9",""
"2005","Finland","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","69,330.19",""
"2005","Sweden","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","28,543.27",""
"2005","Sweden","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","68,778.61",""
